Image:FILE,Prompt,Style
watercolor/019fd442c601548e52dd97e476851660.jpg,"A child with blue hair",watercolor
watercolor/0464ec26e989e08c292757b4a4d0a8c6.jpg,"An old man in a white hat",watercolor
watercolor/01f10c807f39cfaef66a0415aaf18dbe.jpg,"An ancient Chinese building",watercolor
watercolor/0452ab5dc51a0720e98fbc7dbfd58064.jpg,"A woman carrying a child on her back",watercolor
watercolor/0418423afc722a707b141ed56103c397.jpg,"A woman's profile",watercolor
watercolor/01ded54a0f0b78a3cc2e8dde0f3b2879.jpg,"Mountains and clouds in the distance",watercolor
watercolor/01bea44117b78acaf16d684f4ad1dc5d.jpg,"A lion",watercolor
watercolor/02773e54fb10b8e66793a64eb00eb97d.jpg,"A woman carrying a basket on her back",watercolor
watercolor/03956ebd2ef40f98de7acb0323181929.jpg,"A rural path leads to the village",watercolor
watercolor/01bf65524bad78f512baa911310bda0c.jpg,"A narrow alleyway in a city",watercolor
watercolor/020515aadf4bdcbbd165f55b028801ce.jpg,"A cup of tea and flowers",watercolor
watercolor/022cc6d026e21395a7525cba4c0a4980.jpg,"A house near the river, surrounded by trees and birds",watercolor
watercolor/0471bb1d46075faa868a08497c61839f.jpg,"Boats docked in a harbor",watercolor
watercolor/017a4a99b2c5031f23468735d23d6d9d.jpg,"A woman in traditional clothing",watercolor
watercolor/01daf4928e0e6ab5a51330a7819521ba.jpg,"A woman with long hair",watercolor
watercolor/01df2529bcc5c16cbc27c4d84833a322.jpg,"A woman with a messy bun",watercolor
watercolor/02397c96b452a226e8ac0bc930baa077.jpg,"An old woman",watercolor
watercolor/011fb2d109a183f579348df530c5d4e0.jpg,"An old woman with hands behind her back",watercolor
watercolor/04774a5f8395e41fb360b81b121e420a.jpg,"A woman with a white headband",watercolor
watercolor/04101dcba380caa587c2f591712917b6.jpg,"A cliff overlooking the water",watercolor
watercolor/039b8f4161d4728f170ece5aae6880b5.jpg,"A church in the countryside",watercolor
watercolor/047453e12c513f19109a487f89262fa8.jpg,"A little girl stands in front of a window with angel paintings",watercolor
watercolor/0414d867e55db6e3867a1ba1311c5240.jpg,"Some people in a boat on the water",watercolor
watercolor/01c89b3c004eee97facc996427498f81.jpg,"Boats docked in the water",watercolor
watercolor/02af2fa6482820c09311c7d113ebdd50.jpg,"A lizard with red eyes",watercolor
watercolor/02b681863157f5a81f68f98a19660b3f.jpg,"A town with mountains in the background",watercolor
watercolor/02921424375ac19adbad39fc65bbbcf0.jpg,"A small island on a river that flows through the town and two trees on the island",watercolor
watercolor/020fc725e40f0b0ea9a61073b93e535c.jpg,"Red courtyard door of a Chinese style residential courtyard",watercolor
watercolor/01615ad92effcfed7814ea91fc89e584.jpg,"A Chinese house with flowers and plants",watercolor
watercolor/02f603850fa6d7b58d1453e2520c45e8.jpg,"Pavilion and bridges by the river",watercolor
