Image:FILE,Prompt,Style
flatillustration/22091a092e908beb87f4dc24c7c41add.jpeg,"Two planes parked at the airport terminal waiting for passengers",flatillustration
flatillustration/2264e8f217d8c34ccbe5e8a33af3c763.jpg,"Skiers in the snow near a mountain lake with a train in the background",flatillustration
flatillustration/1da1f2c484a3932f76d29c4753103ec4.jpeg,"A woman lying on a bed in a room",flatillustration
flatillustration/4c422ed77096f967feabd820dad25dd7.png,"A landscape view of a man facing a waterfall",flatillustration
flatillustration/4b9915a8385f5dc95e2294d4603a7202.jpeg,"A pier with many ships",flatillustration
flatillustration/41e2e92bfd25d2749576ceb3b2d7fa89.jpg,"A train crossing the desert with many cacti in the background",flatillustration
flatillustration/216264353b488b0517afc3ee14ec5fc6.jpg,"Snowy night landscape with houses and trees in the snow",flatillustration
flatillustration/21b702f1b94e55b0f3be77e8875d6d8d.jpg,"A fox in the woods among leaves and a sunburst",flatillustration
flatillustration/23cd4ea8280595f168993aca863d0d98.jpeg,"A close up of a dog's face with a green background",flatillustration
flatillustration/1c56ef2a9fdcd088af7a29060a077e65.jpg,"Snowy scene of a woman standing in a snowy forest",flatillustration
flatillustration/200baede4cae32a706a1214d190d0899.jpeg,"A woman lounging on a deck chair by the pool",flatillustration
flatillustration/419f7953cc747679d5c06bcc5c55ca57.png,"Three bears walking in a river with mountains in the background",flatillustration
flatillustration/40722d3dc20a08aa1586a8f6dbe731f6.jpeg,"A close up of a tiger in a jungle with leaves",flatillustration
flatillustration/41e25bef26eba920e592b372eeb2dd3b.jpeg,"Many athletes",flatillustration
flatillustration/45726e4f4f6c23e9589c9b13a51eaa71.jpeg,"A woman with long brown hair and a blue T-shirt",flatillustration
flatillustration/268d1cac955abf7e2ace6e6891c9dc1c.jpeg,"A person walking in the snow",flatillustration
flatillustration/4ba40cfe004709682181e5212c7a7d01.jpeg,"An urban landscape under sunlight exposure",flatillustration
flatillustration/23b64b53a84bf944cd9c6eaa9fe883f0.jpeg,"A woman sitting on the floor with her back to the screen",flatillustration
flatillustration/45be90b7a6851abf0fe9d68db6561850.jpeg,"A bottle of wine, two bottle caps, and two cups on the table",flatillustration
flatillustration/2321bae2b23ef8c6aec84ab89b61af71.jpg,"Horses eating grass and a red tent on a field",flatillustration
flatillustration/4cac75689b642e8f18b33ad7b1e91f65.jpeg,"Chinese architecture with trees in its surrounding environment",flatillustration
flatillustration/40e58be5a08a5c50b776690b3af2a1c2.jpeg,"Many penguins on an iceberg with the sun in the background and a whale below the water's surface",flatillustration
flatillustration/4d3172cb6d05286364a184e2804e13c5.png,"A blue couch in the living room with a city view",flatillustration
flatillustration/23ca67a6ccc5cde840ee95e7ce2e5520.jpg,"A person standing on a huge pipe lying flat on the lake's surface",flatillustration
flatillustration/1e8d3fb5acbf01a5827a31245d7c2858.jpeg,"A desert canyon",flatillustration
flatillustration/251e61845a38266575a210838f9f86d7.jpeg,"A panda sitting on the ground, eating bamboo",flatillustration
flatillustration/20a8b3f3be8cd02b9916c1b9de877ef5.jpg,"A close up of a train covered in snow",flatillustration
flatillustration/2006fbaf7f6f5126523bcb231801ccc8.jpeg,"A frog sitting on a tree branch in the jungle",flatillustration
flatillustration/3ff04fa52a5850b7965ddc0a220cab27.jpeg,"Workers using tripods to measure the height of buildings",flatillustration
flatillustration/20f3728557d7823ee8ce2a0c7260beb4.jpeg,"A group of people gathering on the balcony",flatillustration
