Image:FILE,Prompt,Style
vg/9428285.png,"Self-portrait wearing a bright straw hat against a dark blue background",vg
vg/9502466.png,"A self-portrait with serious expression and light blue background.",vg
vg/9485706.png,"Iconic self-portrait with a bandaged ear and a pipe.",vg
vg/9436454.png,"A dense study of forest trees and lush green foliage.",vg
vg/9453890.png,"Rooftops and a winding road in a village under a bright yellow sky.",vg
vg/9428303.png,"Self-portrait with a yellow straw hat and red beard.",vg
vg/9428313.png,"The terrace of the Yellow House in Arles with potted plants.",vg
vg/9436349.png,"A close-up view of forest undergrowth in autumn colors.",vg
vg/9502285.png,"Intense self-portrait in a blue jacket against a violet background.",vg
vg/9451652.png,"The Langlois Drawbridge with a boat and laundresses on the bank.",vg
vg/9428381.png,"Self-portrait wearing a yellow straw hat and bright yellow jacket.",vg
vg/9420385.png,"Self-portrait in a straw hat with a dark jacket and bow tie.",vg
vg/9427672.png,"A yellow stone tunnel entrance on a winding road.",vg
vg/9427896.png,"Still life painting of vibrant pink and white hydrangeas.",vg
vg/9421071.png,"A terra cotta pot holding tall green and red grasses.",vg
vg/9427299.png,"A line of trees along a road or canal bank under a yellow sky.",vg
vg/9436306.png,"Stone bridge over a river with boats and green banks.",vg
vg/9428263.png,"Self-portrait with red beard and a dark moody background.",vg
vg/9428218.png,"Self-portrait with a straw hat pipe, and blue jacket.",vg
vg/9402635.png,"A still life painting of three golden-brown fish.",vg
vg/6491390.png,"Self-portrait in a straw hat with a dynamic brushstroke-filled background.",vg
vg/21880259.png,"Self-portrait with a light grey jacket and red tie detail.",vg
vg/17177561.png,"A wide field of cut wheat stacked into sheaves under a bright sky.",vg
vg/7276652.png,"An aerial view of a farmhouse and undulating terraced fields.",vg
vg/2702957.png,"Trees in an orchard covered in white and green blossoms.",vg
vg/809945.png,"A white house with green shutters seen under a cloudy moonlit sky.",vg
vg/38300740.png,"A still life of a crab on a green background.",vg
vg/35997386.png,"A lush overgrown riverbank with a stone bridge visible in the distance.",vg
vg/32403813.png,"A view of a bridge over the Seine River in Paris with distant buildings.",vg
