image,caption,style
oilpainting/0a38e18466af2982aae9dd4820b308d9.jpg,a painting of a young boy in a black suit,oilpainting
oilpainting/08e4ca4b7f8264cff0b53b2bd3431ef7.jpg,still life with flowers and fruit,oilpainting
oilpainting/089c373f06dedd2d2b4f209e5d0f5f60.jpg,a painting of a country road with sheep and trees,oilpainting
oilpainting/01ddaf9d99a4d092695009250161a325.jpg,a painting of a flamingo on the beach,oilpainting
oilpainting/216f74244b89e96991000ffc48e41ae0.jpg,a painting of a yellow flower with blue and green background,oilpainting
oilpainting/00139b0e77b4439a4d3f9dc91f03571a.jpg,a painting of a road with houses and a church in the background,oilpainting
oilpainting/028306ac2da9a8ab008fd18195b840c9.jpg,a painting of a young girl holding a pair of scissors,oilpainting
oilpainting/091d19ca311baf8d54a5d8a189cf2e2f.jpg,a painting of a woman with a peacock feather,oilpainting
oilpainting/218c6f21737251b196b4bc2ddf98e24e.jpg,a painting of a man in a black hat and coat,oilpainting
oilpainting/00c1929351cf2c796ee4184768d230fa.jpg,a painting of a man with a beard and red scarf,oilpainting
oilpainting/0a1c6cef2102b4f5094360232e8114ef.jpg,a painting of a man with a beard and a beard,oilpainting
oilpainting/225fd7b936e2690e39ed1f6a8bdfc0a4.jpg,a painting of two people in traditional clothing,oilpainting
oilpainting/0215b45fdbe5bf309ca577e84d0021eb.jpg,girl with a pearl earring by vermeer,oilpainting
oilpainting/225899e8a098cc69a5026949798d63bb.jpg,two horses running in the ocean,oilpainting
oilpainting/08fb725490ea08363612567fbfcca25e.jpg,a painting of a man wearing a black hat,oilpainting
oilpainting/08c865aef7e0f910d789cc873a986318.jpg,a painting of a man in a black hat and black coat,oilpainting
oilpainting/22404d133d423e9f0b64efeb887d1fd5.jpg,a painting of a man sitting in a chair with a painting behind him,oilpainting
oilpainting/00c1fbe466e3ff25fe9bcd645705cd15.jpg,a painting of a woman with a red dress and a red scarf,oilpainting
oilpainting/0144f88f49b8eee50745229fad235739.jpg,a painting of a man in a black hat and black coat,oilpainting
oilpainting/0a6225eaeacee70d8ca62cfd211ced9e.jpg,a painting of a man in red holding a book,oilpainting
oilpainting/222fbc9cf8b2b95cf5a594a8d19c5a8d.jpg,a painting of a young boy in a suit holding a hat,oilpainting
oilpainting/0974e74a82f0741263381bae9579a730.jpg,a painting of a forest with trees and grass,oilpainting
oilpainting/20b4f9c5b86a3124ea81bc52a7e344f5.jpg,a painting of a woman with a pearl earring,oilpainting
oilpainting/0a1ef75d7c9eb67eac7e8a602bf10865.jpg,a painting of a village street with houses and a cart,oilpainting
oilpainting/014a08c30c871e6495d5fbb2d202070d.jpg,a painting of a stream in the woods with yellow trees,oilpainting
oilpainting/01184af62c3610644c8eeb8f33ef6331.jpg,a painting of a tree in a field with mountains in the background,oilpainting
oilpainting/213f23bc0c7a7c47a5687d654e15035e.jpg,a painting of a young woman sitting on a bench,oilpainting
oilpainting/2265b64475d963f9360b680469c77214.jpg,a painting of a forest with trees and grass,oilpainting
oilpainting/028792983b0db23465555b3e8a924285.jpg,a painting of a young girl eating grapes,oilpainting
oilpainting/2152ebc6663e04359c2f7d1ba337a0ff.jpg,a painting of a man in a black hat and black coat,oilpainting
