image,caption,style
sketch/029cd8343f57aec2079b5deb9fa280a5.jpg,a pencil drawing of a woman with glasses,sketch
sketch/011c274ed78bcfc99c11cb76a4464d8f.jpg,a drawing of a woman sitting on a chair,sketch
sketch/0006f62c78ffe44f1f42322ce8a1b7e0.jpg,a drawing of an old man with a long beard,sketch
sketch/0ca7e233b51bfc3a26cb338523fc79f9.jpg,a drawing of a man smoking a pipe,sketch
sketch/02261cc71b9e47ffd0fb23fe8a7da209.jpg,a drawing of a bottle of water and a knife,sketch
sketch/0c1a255a8ec5f8f01df204e4f78732df.jpg,a drawing of a young girl wearing glasses sitting in a chair,sketch
sketch/0bad8f4d93dcb29d704ef84d04b65dba.jpg,a drawing of a woman with braids in her hair,sketch
sketch/0c1c0d71bc96d0484744c63f4ee68504.jpg,a drawing of a bread knife and a bread knife,sketch
sketch/0113d1812903bf66a5343917761e9b7d.jpg,a black and white drawing of a man,sketch
sketch/022e65c6041b1aebb5a22c03432bee22.jpg,a drawing of a pipe,sketch
sketch/00c7b36c64c5ca123498a8eee6c3d97e.jpg,a drawing of a man with a black and white background,sketch
sketch/00cc7839b2a56d781f0183085299ff60.jpg,a drawing of a violin and vase on a table,sketch
sketch/020e7cb506a47a4b7bcbfd98ba4a301b.jpg,a drawing of a snowy village with houses,sketch
sketch/0bd558d3a86aa05de661723a2d1b639d.jpg,a drawing of a pot and a bowl with a knife and spoon,sketch
sketch/00415fdc7d3228bd3bbbdfddd1a434bf.jpg,a drawing of a bust of a man,sketch
sketch/0005c275280c685f79429c3293a4eadb.jpg,a black and white drawing of a village in the snow,sketch
sketch/0054e113431754852db1ae01cd17f6b5.jpg,a black and white drawing of an older woman,sketch
sketch/018d73d1a90866f012deb11af66c70b2.jpg,a drawing of a young girl with a hat on,sketch
sketch/0c463d4325c935a41f4fecece502c3ed.jpg,a black and white drawing of a young woman,sketch
sketch/028695aeaacc9f70d6ca3a41c17c2415.jpg,a drawing of a bearded man with long hair,sketch
sketch/027107fb7a8e32492d027d60c591c26f.jpg,a drawing of a tea pot and a book on a table,sketch
sketch/024ff21e99fef9947ce798abf72f2a06.JPG,a drawing of corn,sketch
sketch/0c3411f2c91b60f2418c9735caf0afe8.jpg,a drawing of an old man with a black and white background,sketch
sketch/0c6e63733fca54acbe2e640bc952d775.jpg,a drawing of a pot and vegetables on a table,sketch
sketch/018e1e40a2992f80b1821c711abad7e4.jpg,a drawing of a pitcher,sketch
sketch/00ecafdf3cb260c6688d4236dd27601d.jpg,a drawing of an asian man with his eyes closed,sketch
sketch/0002f0d805eb21cd1d212cbb9f13fdbf.jpg,a pencil drawing of a windmill on a hill,sketch
sketch/02715cab68eb4f748700e066ac99278f.jpg,a drawing of a man sitting on a chair,sketch
sketch/0bf25bd4fad6d344e77768abbf00041c.jpg,a drawing of a man wearing a hat,sketch
sketch/0bede84cfae61d12f4496e20784a7779.jpg,a drawing of a silver pitcher,sketch
